Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;44256;125667;0;0;88;15560;0;141315;0;0;0;0;0;0;0;0;141315;0;529954;671269;37;5820223;6491529
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;44256;0;0;305850;12283;0;0;318132;0;0;0;141661;0;0;141661;4612574;5072367;0;169825;5242192;3158;1240189;6485539
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;44256;0;0;627229;78539;1;0;705769;0;0;0;301403;0;1444758;1746160;502228;2954157;0;2352060;5306217;0;1075907;6382124
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;44256;0;0;1545039;119716;0;0;1664755;0;0;0;105808;0;0;105808;1199854;2970417;10332;1241115;4221864;1963;2049826;6273653
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;C;2;RIO DE JANEIRO;RJ;44256;149823;0;0;2922107;0;16705;3088635;1321265;0;0;0;0;0;0;0;4409899;20941;1046772;5477613;1581;650085;6129279
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;44256;0;0;50924;1670704;0;0;1721628;2810947;0;0;397772;0;0;397772;196814;5127161;14503;449966;5591631;306;528863;6120800
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;S4;I;2;GOIANIA;GO;44256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5519129;5519129;0;172273;5691402
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;44256;480711;0;0;2355530;0;0;2836242;0;168395;544188;0;0;0;712583;1956;3550780;0;1197331;4748111;0;824190;5572301
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;44256;157748;0;397106;1735906;0;0;2290759;137250;75076;269200;1076908;0;0;1421184;756036;4605229;325;317932;4923486;993;614878;5539356
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;44256;833393;0;142577;2313609;0;8406;3297985;0;0;0;0;0;0;0;18667;3316653;0;1606967;4923620;0;589172;5512792
