Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;42979;0;0;0;0;0;0;0;0;0;0;0;982886;982886;0;982886;0;1484392;2467278;0;790994;3258272
INDUSVAL - PRUDENCIAL;1000080415;b1;S4;C;2;SAO PAULO;SP;42979;23435;0;20101;1817684;0;1861220;63744;53008;576264;5181;0;0;634452;16419;2575836;352;231841;2808028;4501;363147;3175676
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;42979;213725;0;0;1043675;7432;1264832;0;0;424455;0;0;0;424455;85001;1774288;21;971667;2745975;0;362460;3108436
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;42979;56583;0;65590;1131832;0;1254005;110313;222152;0;317010;0;0;539162;498446;2401927;0;109020;2510946;2020;503795;3016761
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;I;3;SAO PAULO;SP;42979;0;0;233675;0;0;233675;0;0;0;0;0;0;0;1781528;2015203;168;109011;2124381;11903;852238;2988522
SOCOPA - PRUDENCIAL;1000080381;b1;S4;C;2;SAO PAULO;SP;42979;85122;0;6428;632584;53415;777550;934669;45551;61503;0;0;0;107054;37014;1856287;5469;897531;2759288;0;224311;2983599
STANDARD CHARTERED BI S.A. - PRUDENCIAL;1000081373;b2;S4;I;3;SAO PAULO;SP;42979;0;0;0;1056317;0;1056317;0;0;0;0;0;0;0;357931;1414248;58402;1005968;2478618;0;311320;2789938
BONSUCESSO - PRUDENCIAL;1000080422;b1;S4;I;2;BELO HORIZONTE;MG;42979;29341;0;125573;1238150;123;1393186;12403;83407;0;621;0;0;84028;1585;1491202;21;1059647;2550870;10;236559;2787439
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;S4;I;2;CAMPO MOURAO;PR;42979;76612;0;128670;1055778;0;1261060;0;0;0;0;0;0;0;798788;2059848;0;57406;2117254;0;549164;2666418
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE;70119680;b3C;S4;I;2;CABEDELO;PB;42979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2492343;2492343;0;151932;2644275
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;42979;0;0;0;34937;0;34937;0;0;0;0;0;0;0;202601;237538;0;2278987;2516525;0;116694;2633219
