Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;C;1;ARACAJU;SE;42522;258507;0;258507;95949;354456;2313151;8534;3840;42216;3844;58434;326740;2698324;4240018;0,0958;0,0958;0,1314;0,061;0,2657
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;42522;823670;0;823670;0;823670;2655819;NA;NA;NA;NA;NA;NA;2655819;0;0,3101;0,3101;0,3101;NI%;0,0189
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;42522;355040;0;355040;0;355040;2408154;14463;31298;38995;12329;97085;104568;2609806;3737990;0,136;0,136;0,136;0,095;0,2127
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;42522;545752;0;545752;0;545752;2065252;21007;0;312017;0;333024;185380;2583656;4196006;0,2112;0,2112;0,2112;0,1301;0,1326
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;42522;446146;0;446146;0;446146;2175049;24602;0;95644;0;120246;186736;2482031;3687561;0,1798;0,1798;0,1798;0,121;0,0008
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;42522;552893;0;552893;0;552893;1847944;88170;0;421166;0;509336;98269;2455549;4247895;0,2252;0,2252;0,2252;0,1302;0,009
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;;C;2;RIO DE JANEIRO;RJ;42522;343333;0;343333;0;343333;1612783;279704;0;396456;4506;680666;153392;2446841;2404564;0,1403;0,1403;0,1403;0,1428;0,0308
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;C;2;UBERLANDIA;MG;42522;402597;0;402597;0;402597;1697124;0;0;279;0;279;732698;2430101;2257190;0,1657;0,1657;0,1657;0,1784;0,1656
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;42522;246854;83412;330265;0;330265;1851021;0;0;0;0;0;539125;2390145;0;0,1033;0,1382;0,1382;NI%;0,0079
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;42522;839856;0;839856;0;839856;1898298;0;0;7119;0;7119;390037;2295455;0;0,3659;0,3659;0,3659;NI%;0,0575
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;42522;338987;0;338987;0;338987;1998039;658;296;4815;263;6033;184776;2188847;2826813;0,1549;0,1549;0,1549;0,1199;0,0318
SCANIA - PRUDENCIAL;1000080776;b2;;C;3;SAO BERNARDO DO CAMPO;SP;42522;271323;0;271323;56441;327764;1763618;0;0;0;0;0;224676;1988295;1901535;0,1365;0,1365;0,1648;0,1427;0,0175
