Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SÃO ROQUE DE MINAS LTDA.   SICOOB SAROMCREDI;66402207;b3S;I;2;S5;9;SAO ROQUE DE MINAS;MG;mar/21;277.281;194.768;2.777;0;0;0;0;62.397;17.332;0;0;0;0;0;0;0;0;0;0;6;0
BANCO TRICURY S.A.;57839805;b2;I;2;S4;8;SAO PAULO;SP;mar/21;275.796;247.405;0;0;0;0;0;28.391;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP;3461243;b3S;I;2;S5;9;JOINVILLE;SC;mar/21;275.222;149.079;7.669;0;0;0;0;118.459;0;0;0;0;0;0;0;0;0;0;0;15;0
COOPERATIVA DE CRÉDITO CREDCOOPER LTDA – SICOOB CREDCOOPER;19449602;b3S;I;2;S5;9;CARATINGA;MG;mar/21;272.408;216.576;38.659;2.059;0;0;0;10.307;4.805;0;0;0;0;0;0;0;0;0;0;2;0
AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36321990;n1;I;2;S4;14;VITORIA;ES;mar/21;271.964;262.277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.687;0
COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA DE MINAS GERAIS - CRESOL MINAS GERAIS;8624548;b3S;I;2;S5;9;MURIAE;MG;mar/21;271.205;255.911;0;1.224;0;0;0;1.658;6.047;0;0;6.343;0;0;0;0;0;0;0;22;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO TRÊS FRONTEIRAS - SICOOB TRÊS FRONTEIRAS;4876393;b3S;I;2;S5;9;FOZ DO IGUACU;PR;mar/21;270.887;187.793;30;0;0;0;0;69.600;13.455;0;0;0;0;0;0;0;0;0;0;9;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE  LAGOA DA PRATA E REGIÃO LTDA.   SICOOB LAGOACRED GERAIS;1739375;b3S;I;2;S5;9;LAGOA DA PRATA;MG;mar/21;270.016;247.784;211;0;0;0;0;17.527;4.491;0;0;0;0;0;0;0;0;0;0;4;0
COOPERATIVA DE CRÉDITO SUL-LITORÂNEA DO ESPÍRITO SANTO;32474884;b3S;I;2;S5;9;ALFREDO CHAVES;ES;mar/21;268.861;158.652;118;0;0;0;0;90.905;19.181;0;0;0;0;0;0;0;0;0;0;5;0
COOPERATIVA DE CRÉDITO CREDIFIEMG LTDA. – SICOOB CREDIFIEMG;7469260;b3S;I;2;S5;9;BELO HORIZONTE;MG;mar/21;268.086;89.218;0;0;0;0;0;169.573;9.294;0;0;0;0;0;0;0;0;0;0;0;0
LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11271860;n1;I;2;S5;14;ELDORADO;RS;mar/21;266.988;265.439;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;1.549;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ITAÚNA E REGIÃO LTDA - SICOOB CENTRO-OESTE;66463407;b3S;I;2;S5;9;ITAUNA;MG;mar/21;264.742;72.510;0;0;0;0;0;188.957;3.273;0;0;0;0;0;0;0;0;0;0;1;0
SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;122327;n1;I;2;S5;14;FLORIANOPOLIS;SC;mar/21;264.556;194.686;0;0;0;0;0;56.966;0;12.898;0;0;0;0;0;0;0;0;0;5;0
COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA UNIÃO DOS VALES – CRESOL UNIÃO DOS VALES;5231945;b3S;I;2;S5;9;IVAIPORA;PR;mar/21;262.323;251.227;0;798;0;0;0;3.348;2.764;0;0;4.176;0;0;0;0;0;0;0;10;0
COOPERATIVA DE CRÉDITO SICREDI ARACAJU;2923389;b3S;I;2;S5;9;ARACAJU;SE;mar/21;261.704;147.172;0;0;0;0;0;114.531;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA HORIZONTE - CRESOL HORIZONTE;5277312;b3S;I;2;S5;9;UNIAO DA VITORIA;PR;mar/21;260.782;242.641;0;913;0;0;0;3.220;4.618;0;0;9.379;0;0;0;0;0;0;0;10;0
COOPERATIVA DE CRÉDITO DA FOZ DO RIO ITAJAÍ AÇU - CREDIFOZ;9512539;b3S;I;2;S5;9;ITAJAI;SC;mar/21;260.535;135.642;14.145;0;0;0;0;110.726;0;0;0;0;0;0;0;0;0;0;0;22;0
