Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica;;;;;;;;;;;;
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;2746370;16453;309343;388125;366011;36311;4398;0;1120642;0;0;0;226;261;22;0;508;3800;579228;164185;0;0;0;0;747212;37;158025;23008;5732;0;0;0;186802;0;336026;201271;60321;4640;0;0;602259;1739;38464;44986;2965;520;272;0;88946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;2406662;0;15097;58123;33488;0;0;0;106708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1104462;1011255;166344;0;0;0;2282062;0;0;0;0;17893;0;0;17893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/03/2018;2351971;0;0;0;0;0;0;0;0;12429;996404;619837;392986;33579;6789;501;2062524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6357;243204;38431;1243;142;71;0;289448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;2267556;120562;160298;244115;209662;14457;9656;0;758751;169372;113423;110154;82683;3039;803;0;479475;1413;0;0;0;0;583976;0;585389;3;560;1269;2245;488;761;0;5326;73675;77002;58872;26579;0;0;0;236129;103701;49619;10593;35205;3368;0;0;202486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;2055953;0;86425;89176;9868;6;0;0;185475;2129;93524;250968;401760;54511;0;0;802891;0;0;0;0;0;0;0;0;753;3587;14690;11880;1631;0;0;32540;4;477501;234536;314231;0;0;0;1026272;4713;0;0;0;0;0;0;4713;147;795;1977;1143;0;0;0;4062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;2053273;0;63962;192258;32628;1678;0;0;290526;0;0;0;0;0;0;0;0;0;158210;95437;0;0;0;0;253647;0;97129;44797;39639;0;0;0;181565;1137;364390;208097;0;610754;0;0;1184378;537;99483;39738;397;3002;0;0;143157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/03/2018;1998943;32415;136799;368770;191056;8833;2314;83572;823760;13;865;1749;11442;36;0;0;14105;1697;1304;2823;76;0;0;0;5901;6;2258;26;0;0;0;0;2291;0;8888;76792;115117;52571;0;0;253367;9801;185;2063;2230;0;0;0;14280;6514;32197;75824;150995;121267;385430;22556;794783;1441;5442;46598;18946;8042;9988;0;90457;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2018;1909813;28264;105427;216075;273396;87487;15089;0;725738;552;1228;3755;3359;4;0;0;8898;39424;178985;5184;0;0;0;0;223593;307;2596;241;0;0;0;0;3144;0;0;85055;0;0;0;0;85055;52910;85868;119400;218224;67949;7523;0;551875;0;0;0;0;0;0;0;0;0;509;93439;129476;36397;0;0;259821;710;9594;28065;9795;3484;42;0;51690;0;;;;;;;;;;;;
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/03/2018;1905559;0;0;0;0;0;0;0;0;4159;313672;199642;214898;22995;5;0;755370;0;0;0;0;0;0;0;0;0;334266;808752;0;0;0;0;1143017;0;0;0;0;0;0;0;0;0;385;3755;1731;1253;47;0;7172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/03/2018;1851793;15024;16025;16579;11277;1524;0;0;60429;64;12552;33701;81949;60906;451;0;189623;0;0;0;0;0;0;0;0;0;67970;0;0;0;0;0;67970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6399;160812;418745;704549;237003;6263;0;1533771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;1782925;0;265567;81940;176713;2160;0;0;526380;0;0;0;0;0;0;0;0;0;25795;554;0;0;0;0;26349;0;6618;0;16973;0;0;0;23591;0;207833;618190;1500;0;0;0;827524;0;617;0;99696;0;0;0;100313;0;19997;873;2329;2232;1068;0;26499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252268;;;;;;;;;;;;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2018;1771674;0;56256;59071;0;0;0;0;115327;95;536;780;414;105;0;0;1931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31926;73522;0;0;0;0;105447;0;110335;256246;191447;101589;0;58;659676;24;58904;151006;329125;193751;89270;0;822079;0;2706;17321;14840;12216;20131;0;67215;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/03/2018;1713180;0;1037;735;0;0;0;0;1772;13692;44743;49322;60817;4486;8;0;173068;0;0;101;0;0;0;0;101;0;615119;18858;18139;2202;0;0;654318;0;0;0;0;0;0;0;0;5551;13296;7275;27103;16810;0;0;70036;1888;14977;39717;64054;10864;0;0;131499;5383;126659;62699;283028;152332;52287;0;682387;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/03/2018;1659993;6253;84514;201575;301393;74498;1653;0;669886;195;3304;7580;8995;1193;0;0;21268;4414;120134;0;0;0;0;0;124548;2074;47517;3948;0;0;0;0;53539;2242;55367;151332;0;0;0;0;208941;24722;15360;48506;130754;75179;43651;0;338171;920;13366;36035;66777;44117;21393;0;182608;0;338;18081;449;58;0;0;18926;23;4763;13863;23381;76;0;0;42106;0;;;;;;;;;;;;
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;1643819;4217;36136;158015;166420;76804;1399;0;442991;3643;37697;79023;99603;7498;0;0;227465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1955;1858;3483;3477;2867;1632;0;15273;17983;130375;317605;384795;85270;22062;0;958091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/03/2018;1621293;0;88690;49028;150000;0;0;0;287718;0;0;0;0;0;0;0;0;0;1120;0;0;0;0;0;1120;0;21653;17499;0;0;0;0;39151;0;604474;328344;210634;12963;0;0;1156416;0;0;1662;0;0;0;0;1662;0;23883;9452;15563;2832;1969;0;53699;0;40763;40763;0;0;0;0;81526;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/03/2018;1472388;0;0;0;0;0;0;0;0;1341;30103;53145;67706;9589;2534;0;164418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;620;254;809;1363;92;0;0;3139;19496;63944;194281;444736;279558;199737;1294;1203047;2613;5978;14672;30391;21815;26316;0;101785;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;1449971;10703;107720;213415;186625;20882;752;0;540096;0;0;0;0;0;0;0;0;3194;255260;0;0;0;0;0;258454;0;293664;38340;7719;0;0;0;339724;9347;68569;110619;25547;8346;0;0;222428;33;1054;2424;2883;0;0;0;6393;0;3512;8307;6552;2356;400;0;21126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61750;;;;;;;;;;;;
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;1430408;0;36;97902;0;0;0;0;97938;0;0;0;0;0;0;0;0;0;5742;56300;0;0;0;0;62043;0;0;0;0;0;0;0;0;0;488296;366028;299088;0;0;0;1153413;0;103787;13228;0;0;0;0;117015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/03/2018;1266292;13011;126775;254508;247198;34945;1044;0;677481;0;0;0;0;0;0;0;0;4307;43071;92338;1354;0;0;0;141070;2018;206841;13552;74;0;0;0;222486;0;1803;3943;0;0;0;0;5747;4725;54368;11951;106;0;0;0;71150;51;17726;48510;67629;14420;22;0;148358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;1237677;0;525;1887;1400;106;0;0;3917;1655;100778;199033;187442;8858;3;0;497769;0;0;0;0;0;0;0;0;0;734890;0;0;0;0;0;734890;0;0;0;0;0;0;0;0;0;59;1042;0;0;0;0;1101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;1230821;0;33170;83229;222770;0;0;0;339169;0;0;0;86985;0;0;0;86985;0;0;0;0;0;0;182211;182211;0;202281;3682;0;0;0;0;205963;0;167317;143484;0;0;0;0;310801;0;98484;7208;0;0;0;0;105692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/03/2018;1204360;0;0;0;0;0;0;0;0;14104;165120;370013;552905;97421;1794;3003;1204360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;1197274;92581;172009;251691;139605;18380;823;0;675088;0;93;258;550;83;0;0;984;0;2;360;0;0;329270;0;329632;0;28126;54682;13515;0;0;0;96322;0;3791;4963;0;0;0;0;8754;8975;17547;32825;1309;336;0;0;60993;0;984;1299;0;0;0;0;2283;0;3988;19232;0;0;0;0;23220;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO ABN AMRO S.A.;3532415;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;1157481;0;0;31331;31331;0;0;0;62663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;369388;284150;253025;162874;0;0;1069436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12691;12691;0;0;0;0;25382;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2018;1155049;0;7091;10393;16955;3267;0;0;37706;213;8763;22469;39175;14280;1257;0;86157;0;0;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7683;108654;451079;746;511;767;0;569440;192;16715;56967;164073;107905;30104;155;376111;0;19648;3980;21495;14983;25473;49;85628;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/03/2018;1149379;68;1011;4104;959;378;64;0;6584;4429;46239;115622;266993;125564;78609;0;637456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;140;356;133;7;0;679;4141;27272;77082;184489;117279;94397;0;504660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/03/2018;1101428;0;0;0;0;217;74;0;291;1505;72097;178248;370242;202969;64808;0;889869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167;1130;2920;6203;28;0;0;10449;2495;14443;43147;89040;38125;12903;668;200820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;1089925;0;17175;107201;91306;12299;0;0;227981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12078;0;0;0;0;0;12078;0;83744;432272;333851;0;0;0;849866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO FORD S.A.;90731688;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;1033485;0;365;1061;3489;1499;0;0;6413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14032;413443;571536;12422;11439;93;0;1022965;0;0;0;0;0;0;0;0;0;2299;1807;0;0;0;0;4107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/03/2018;1014270;20747;111817;230842;249276;39581;2621;0;654885;1866;21581;47588;93747;33144;273;0;198198;72;25243;17888;0;0;0;0;43203;3;8000;1320;0;0;0;0;9323;3527;45495;52664;0;0;0;0;101686;103;1035;2424;3032;382;0;0;6976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/03/2018;878420;0;28272;2007;0;0;0;0;30279;3146;51445;106006;159460;34870;480;0;355409;0;0;0;0;0;0;0;0;0;165423;23598;0;0;0;0;189021;0;0;0;0;0;0;0;0;322;3800;11307;19846;7458;0;0;42733;1149;9892;20395;32161;12538;0;0;76136;2493;19019;44452;78118;29084;11678;0;184844;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/03/2018;849620;18170;38067;78280;82209;20066;770;0;237563;85;328;471;179;7;0;0;1070;42978;46865;19962;719;0;0;0;110525;1134;7074;1292;0;0;0;0;9500;0;0;0;0;0;0;0;0;12909;27760;24519;56395;34548;21122;1743;178997;3028;20877;51294;112389;72969;12389;0;272945;0;5104;6027;2619;2054;5450;0;21254;9;810;2362;4978;9584;22;0;17766;0;;;;;;;;;;;;
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/03/2018;838536;802;5950;16396;19729;2749;312;0;45939;3797;125680;230495;137365;32707;2178;0;532223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311;5401;5210;4067;1576;7352;7582;31499;3006;32407;78036;97625;17795;7;0;228876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
GRUPO BONSUCESSO - BS2;52034;b1;C;2;S4;199;BELO HORIZONTE;MG;01/03/2018;817133;4395;38403;135406;70781;20657;703;0;270344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;149;91;5;0;0;505419;505671;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;49;469;11101;9827;13049;6613;11;0;41069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/03/2018;793512;2545;68135;203212;123950;21265;1026;0;420134;173;4576;11828;17323;1768;7;0;35675;0;2143;14481;729;0;0;0;17353;2106;70466;5820;0;0;0;0;78392;0;0;0;0;0;0;0;0;631;32430;36025;39030;756;16;0;108889;0;0;0;0;0;0;0;0;0;2681;105626;20134;3947;682;0;133069;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/03/2018;757737;1684;55025;115715;127290;23089;3336;0;326138;1776;21657;51096;73086;17021;5827;0;170461;0;12352;43846;17;0;0;0;56215;0;100740;4550;0;0;0;0;105291;0;0;0;0;0;0;0;0;5752;5734;9044;15508;5331;2386;0;43754;386;9164;20521;22798;2200;809;0;55878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BOFA MERRILL LYNCH;51255;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;705119;0;221575;179086;201630;0;0;0;602291;0;0;0;0;0;0;0;0;0;4245;39168;0;0;0;0;43413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4134;40782;14499;0;0;0;59415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;692355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244227;422199;24534;1394;0;0;692355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MIZUHO;51554;b1;I;3;S4;199;SAO PAULO;SP;01/03/2018;691924;0;56359;102900;131899;0;0;3;291161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111368;145017;0;0;0;487;256872;0;0;0;0;0;0;0;0;0;710;30000;20000;0;0;0;50710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93182;;;;;;;;;;;;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;S4;30;FLORIANOPOLIS;SC;01/03/2018;665972;0;0;0;0;0;0;0;0;4153;41513;103125;148126;27662;7168;0;331748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133;264;693;0;0;0;1089;1857;15786;49981;129873;74762;44166;0;316426;0;0;2321;5443;6839;2107;0;16710;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;I;2;S4;9;BELO HORIZONTE;MG;01/03/2018;645772;581;38635;118274;248397;135063;77971;0;618920;3;467;1154;1961;796;1021;0;5401;0;19323;0;0;0;0;0;19323;0;1396;183;0;0;0;0;1580;0;0;0;0;0;0;0;0;184;279;86;0;0;0;0;549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/03/2018;627805;1028;31014;76324;101604;12005;1054;0;223028;133;11101;17812;10029;1160;32;0;40266;3085;47119;69650;87;0;0;0;119942;774;50608;4912;0;0;0;0;56294;0;0;0;0;0;0;0;0;2099;22102;30400;53393;26212;11306;109;145620;0;0;0;0;0;0;0;0;0;13258;29396;0;0;0;0;42654;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;S4;14;SAO PAULO;SP;01/03/2018;620823;11867;78705;128554;163211;47466;390;0;430192;2391;23677;53284;76535;13168;0;0;169055;0;2448;0;1696;0;0;0;4144;5144;4644;5525;2120;0;0;0;17432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/03/2018;610181;17489;29471;78201;119175;37728;7350;0;289414;134;1333;3379;5552;1028;0;0;11425;0;54125;14392;0;0;0;0;68517;389;27475;1912;0;0;0;0;29777;0;0;0;0;0;0;0;0;2066;5021;12278;31905;30514;9083;0;90867;0;0;0;0;0;0;0;0;0;8743;65756;44482;1200;0;0;120182;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/03/2018;600837;16819;55190;125899;158724;54516;30058;0;441206;379;4847;12940;24617;7653;2232;0;52668;0;7485;9030;0;0;0;0;16516;3489;74720;9023;0;0;0;0;87231;0;0;0;0;0;0;0;0;1494;554;72;107;37;73;0;2338;0;0;0;0;0;0;0;0;0;0;802;76;0;0;0;878;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
INDUSVAL;50531;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;599826;23316;35811;73436;138209;7439;0;0;278211;0;0;0;0;0;0;0;0;0;922;0;0;0;0;0;922;239;1037;207;598;568;377;0;3026;1955;47365;119523;34044;3479;0;0;206365;24311;32984;8399;24557;9032;0;0;99283;53;1602;1423;2500;1372;6;0;6956;0;5063;0;0;0;0;0;5063;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO MONEO S.A.;7441209;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/03/2018;596297;433;600;38;0;0;0;0;1072;2419;3512;8360;11120;1108;52;0;26571;0;0;0;0;0;0;0;0;8;19710;1;3;0;0;0;19722;0;0;0;0;0;0;0;0;1964;13081;21581;25892;7375;3047;0;72940;6834;49351;129137;225918;62950;1803;0;475993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;01/03/2018;596018;0;7019;0;0;0;0;0;7019;2111;57102;120753;100434;3707;138;0;284245;0;0;0;0;0;0;0;0;0;113440;191314;0;0;0;0;304754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
RENDIMENTO;51468;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;582234;389;83447;100547;59497;183;0;0;244064;0;0;0;0;0;0;0;0;3887;66124;53625;0;0;0;0;123636;3181;112689;8533;0;0;0;0;124403;0;10991;14705;0;0;0;0;25696;174;1658;750;2468;0;0;0;5049;411;5587;14292;28533;10563;0;0;59386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/03/2018;575286;4440;78222;114148;176422;78563;17692;33;469521;194;3573;8756;12969;2175;85;0;27752;0;7895;5172;0;0;0;0;13067;1368;38390;4058;0;0;0;0;43816;0;0;0;0;0;0;0;0;1618;845;949;1142;722;11;0;5287;0;7;21;25;0;0;0;54;0;3667;10871;1250;0;0;0;15789;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO GUANABARA S.A.;31880826;b1;I;2;S4;8;RIO DE JANEIRO;RJ;01/03/2018;571899;12268;110882;185996;142208;6125;0;0;457478;159;10796;22436;23866;0;0;0;57257;0;0;0;0;0;0;0;0;0;18553;9329;6448;2980;0;0;37309;0;0;0;0;0;0;0;0;0;28;75;187;0;0;0;291;592;3405;8093;7428;46;0;0;19564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
